id,participant_id,response_time,correct,trial_number,stimuli_number,response,heatmap_condition,legend_condition,label_condition,attention,time_when
24397,test,1155,1,78,right-9,left,right-dark,dark-up,fewer-up,dual,11:42:39_PM
24398,test,NULL,0,79,left-3,none,left-dark,light-up,fewer-up,dual,11:42:41_PM
24499,test5,NULL,0,0,left-7,none,left-dark,dark-up,greater-up,dual,5:11:59_AM
24500,test5,1728,1,1,right-9,right,right-dark,dark-up,greater-up,dual,5:12:04_AM
24501,test5,NULL,0,2,left-9,none,left-dark,light-up,fewer-up,dual,5:12:07_AM
24502,test5,850,0,3,right-3,right,right-dark,light-up,greater-up,dual,5:12:10_AM
24503,test5,1592,1,4,right-5,right,right-dark,light-up,fewer-up,dual,5:12:14_AM
24504,test5,NULL,0,5,right-6,none,right-dark,light-up,fewer-up,dual,5:12:17_AM
24505,test5,827,0,6,right-0,right,right-dark,dark-up,fewer-up,dual,5:12:20_AM
24506,test5,916,1,7,left-4,left,left-dark,dark-up,greater-up,dual,5:12:22_AM
24507,test5,NULL,0,8,left-0,none,left-dark,light-up,greater-up,dual,5:12:25_AM
24508,test5,1398,0,9,right-4,left,right-dark,dark-up,greater-up,dual,5:12:29_AM
24509,test5,1390,1,10,right-8,left,right-dark,light-up,greater-up,dual,5:12:32_AM
24510,test5,1676,0,11,right-0,left,right-dark,light-up,fewer-up,dual,5:12:35_AM
24511,test5,1428,1,12,left-1,right,left-dark,dark-up,fewer-up,dual,5:12:38_AM
24512,test5,NULL,0,13,right-8,none,right-dark,dark-up,greater-up,dual,5:12:41_AM
24513,test5,1028,0,14,left-4,left,left-dark,dark-up,fewer-up,dual,5:12:44_AM
24514,test5,NULL,0,15,right-2,none,right-dark,light-up,fewer-up,dual,5:12:46_AM
24515,test5,909,1,16,left-7,right,left-dark,light-up,greater-up,dual,5:12:49_AM
24516,test5,NULL,0,17,left-5,none,left-dark,light-up,fewer-up,dual,5:12:52_AM
24517,test5,1358,1,18,right-6,left,right-dark,dark-up,fewer-up,dual,5:12:56_AM
24518,test5,1292,1,19,right-7,left,right-dark,light-up,greater-up,dual,5:13:00_AM
24519,test5,NULL,0,20,left-2,none,left-dark,dark-up,fewer-up,dual,5:14:13_AM
24520,test5,NULL,0,21,left-8,none,left-dark,dark-up,greater-up,dual,5:14:16_AM
24521,test5,1604,1,22,right-9,left,right-dark,dark-up,fewer-up,dual,5:14:20_AM
24522,test5,NULL,0,23,left-2,none,left-dark,light-up,greater-up,dual,5:14:23_AM
24523,test5,1428,0,24,right-5,left,right-dark,dark-up,greater-up,dual,5:14:27_AM
24524,test5,916,1,25,right-2,right,right-dark,dark-up,greater-up,dual,5:14:29_AM
24525,test5,1532,1,26,left-1,left,left-dark,light-up,fewer-up,dual,5:14:32_AM
24526,test5,1402,0,27,left-8,right,left-dark,light-up,fewer-up,dual,5:14:35_AM
24527,test5,NULL,0,28,left-2,none,left-dark,light-up,fewer-up,dual,5:14:38_AM
24528,test5,992,0,29,right-9,left,right-dark,light-up,fewer-up,dual,5:14:42_AM
24529,test5,NULL,0,30,left-3,none,left-dark,light-up,greater-up,dual,5:14:45_AM
24530,test5,1180,1,31,left-3,left,left-dark,dark-up,greater-up,dual,5:14:48_AM
24531,test5,1454,0,32,left-4,left,left-dark,light-up,greater-up,dual,5:14:51_AM
24532,test5,NULL,0,33,left-6,none,left-dark,light-up,greater-up,dual,5:14:54_AM
24533,test5,1516,1,34,left-6,right,left-dark,dark-up,fewer-up,dual,5:14:58_AM
24534,test5,1386,1,35,right-3,left,right-dark,dark-up,fewer-up,dual,5:15:01_AM
24535,test5,1055,0,36,left-1,right,left-dark,dark-up,greater-up,dual,5:15:04_AM
24536,test5,1440,1,37,right-2,left,right-dark,light-up,greater-up,dual,5:15:07_AM
24537,test5,996,1,38,left-1,right,left-dark,light-up,greater-up,dual,5:15:10_AM
24538,test5,1545,1,39,left-4,left,left-dark,light-up,fewer-up,dual,5:15:13_AM
24539,test5,1370,0,40,left-6,right,left-dark,dark-up,greater-up,dual,5:15:20_AM
24540,test5,1032,1,41,left-9,right,left-dark,light-up,greater-up,dual,5:15:23_AM
24541,test5,1448,0,42,right-7,left,right-dark,dark-up,greater-up,dual,5:15:25_AM
24542,test5,NULL,0,43,right-5,none,right-dark,dark-up,fewer-up,dual,5:15:29_AM
24543,test5,1256,1,44,left-9,left,left-dark,dark-up,greater-up,dual,5:15:32_AM
24544,test5,1365,1,45,left-2,left,left-dark,dark-up,greater-up,dual,5:15:35_AM
24545,test5,NULL,0,46,right-3,none,right-dark,light-up,fewer-up,dual,5:15:38_AM
24546,test5,1168,1,47,left-7,left,left-dark,light-up,fewer-up,dual,5:15:41_AM
24547,test5,1029,1,48,right-8,right,right-dark,light-up,fewer-up,dual,5:15:44_AM
24548,test5,1099,1,49,right-0,right,right-dark,dark-up,greater-up,dual,5:15:47_AM
24549,test5,1268,0,50,left-9,left,left-dark,dark-up,fewer-up,dual,5:15:50_AM
24550,test5,1293,1,51,right-5,left,right-dark,light-up,greater-up,dual,5:15:53_AM
24551,test5,1309,0,52,right-9,right,right-dark,light-up,greater-up,dual,5:15:56_AM
24552,test5,NULL,0,53,right-4,none,right-dark,light-up,fewer-up,dual,5:15:59_AM
24553,test5,1111,1,54,right-6,right,right-dark,dark-up,greater-up,dual,5:16:02_AM
24554,test5,NULL,0,55,right-6,none,right-dark,light-up,greater-up,dual,5:16:04_AM
24555,test5,1206,1,56,right-7,right,right-dark,light-up,fewer-up,dual,5:16:08_AM
24556,test5,NULL,0,57,right-7,none,right-dark,dark-up,fewer-up,dual,5:16:10_AM
24557,test5,NULL,0,58,right-1,none,right-dark,dark-up,greater-up,dual,5:16:14_AM
24558,test5,1584,0,59,right-4,right,right-dark,dark-up,fewer-up,dual,5:16:18_AM
24559,test5,1045,1,60,left-0,left,left-dark,dark-up,greater-up,dual,5:17:16_AM
24560,test5,1660,0,61,left-7,left,left-dark,dark-up,fewer-up,dual,5:17:19_AM
24561,test5,NULL,0,62,right-4,none,right-dark,light-up,greater-up,dual,5:17:22_AM
24562,test5,881,0,63,left-3,left,left-dark,dark-up,fewer-up,dual,5:17:25_AM
24563,test5,1630,1,64,left-0,right,left-dark,dark-up,fewer-up,dual,5:17:28_AM
24564,test5,1385,1,65,right-3,right,right-dark,dark-up,greater-up,dual,5:17:31_AM
24565,test5,1144,1,66,left-8,right,left-dark,light-up,greater-up,dual,5:17:34_AM
24566,test5,1506,1,67,left-0,left,left-dark,light-up,fewer-up,dual,5:17:38_AM
24567,test5,NULL,0,68,left-5,none,left-dark,dark-up,greater-up,dual,5:17:41_AM
24568,test5,1546,0,69,left-5,left,left-dark,dark-up,fewer-up,dual,5:17:46_AM
24569,test5,1122,1,70,right-1,right,right-dark,light-up,fewer-up,dual,5:17:49_AM
24570,test5,1117,1,71,right-8,left,right-dark,dark-up,fewer-up,dual,5:17:52_AM
24571,test5,1002,1,72,right-1,left,right-dark,light-up,greater-up,dual,5:17:55_AM
24572,test5,1693,1,73,left-5,right,left-dark,light-up,greater-up,dual,5:17:59_AM
