participant_id,response_time,correct,trial_number,stimuli_number,response,heatmap_condition,legend_condition,label_condition,attention,time_when
65fcab5ed252c205f819b116,1144,0,35,left-0,left,left-dark,dark-up,fewer-up,dual,52:00.2
695bd68349914a703c6a9e80,1182,1,59,right-6,right,right-dark,dark-up,greater-up,dual,52:00.5
698bd173e4842a5bd8ad85bb,1018,1,22,left-4,right,left-dark,dark-up,fewer-up,single,51:59.8
69a5c500037701844052c365,1128,1,52,right-9,left,right-dark,dark-up,fewer-up,single,52:00.2
60bc8860d04f4ac80d319a5c,1591,1,72,right-2,right,right-dark,light-up,fewer-up,dual,52:00.3
6544ff9e0fb2eaaf83e2de5c,NULL,0,34,left-7,none,left-dark,light-up,fewer-up,dual,52:00.8
615e420a23219efe3427a367,1459,1,71,right-4,right,right-dark,dark-up,greater-up,dual,52:01.7
695f9da1eba3887a2214b9f6,883,1,6,left-3,left,left-dark,light-up,fewer-up,single,52:00.6
69acf86d93afc119933913e5,1351,0,64,left-2,right,left-dark,light-up,fewer-up,dual,52:01.0
604db6324496c57afe822770,1399,1,61,right-6,left,right-dark,dark-up,fewer-up,single,52:01.7
6984a9d17c365f6f621d7fe7,1069,1,49,left-2,right,left-dark,light-up,greater-up,dual,52:01.4
604fe822b095421e07e3f93e,1185,1,23,right-7,right,right-dark,light-up,fewer-up,dual,52:00.9
65fcab5ed252c205f819b116,985,1,36,right-7,left,right-dark,light-up,greater-up,dual,52:02.6
698bd173e4842a5bd8ad85bb,1208,1,23,right-1,right,right-dark,dark-up,greater-up,single,52:02.3
695f9da1eba3887a2214b9f6,822,1,7,left-1,left,left-dark,dark-up,greater-up,single,52:02.7
6544ff9e0fb2eaaf83e2de5c,270,0,35,left-4,right,left-dark,light-up,fewer-up,dual,52:03.1
69a5c500037701844052c365,1334,1,53,right-5,right,right-dark,dark-up,greater-up,single,52:03.2
67e48f46ac070276b3bc9cfa,1198,1,60,left-3,right,left-dark,light-up,greater-up,single,52:03.4
69acf86d93afc119933913e5,1259,1,65,right-3,right,right-dark,dark-up,greater-up,dual,52:03.4
615e420a23219efe3427a367,1292,1,72,right-1,right,right-dark,dark-up,greater-up,dual,52:04.3
60bc8860d04f4ac80d319a5c,1741,0,73,left-2,left,left-dark,dark-up,fewer-up,dual,52:03.5
604db6324496c57afe822770,997,1,62,left-6,left,left-dark,dark-up,greater-up,single,52:04.1
6984a9d17c365f6f621d7fe7,1266,1,50,left-3,right,left-dark,dark-up,fewer-up,dual,52:03.8
