id,participant_id,duration,response_time,correct,trial_number,stimuli_number,response,heatmap_condition,legend_condition,label_condition,attention,time_when
5097,5a4ff86beedc32000141f232,4524.199999988079,4524.199999988079,1,6,left-9,right,left-dark,dark-up,fewer-up,single,2026-02-17 21:34:02.6870000
5098,67325d10b9e0c58d803cd7ba,1220.8000001907349,1220.8000001907349,1,17,left-8,left,left-dark,light-up,fewer-up,dual,2026-02-17 21:34:03.1940000
5099,6310dbdfda69599720736665,1283.2999999523163,1283.2999999523163,1,71,right-2,left,right-dark,dark-up,fewer-up,single,2026-02-17 21:34:04.4470000
5100,5e9e19d808b9931ef37373c6,2048,2048,1,43,right-7,left,right-dark,dark-up,fewer-up,dual,2026-02-17 21:34:04.2420000
5101,697cb8ffcfbeef0652884528,1594.1000000238419,1594.1000000238419,1,51,right-1,right,right-dark,light-up,fewer-up,dual,2026-02-17 21:34:05.5820000
5102,67325d10b9e0c58d803cd7ba,1247.5,1247.5,0,18,left-8,left,left-dark,dark-up,fewer-up,dual,2026-02-17 21:34:04.9460000
5103,588e02b13326830001bc29cd,3489.100000143051,3489.100000143051,1,18,left-5,left,left-dark,dark-up,greater-up,single,2026-02-17 21:34:05.7000000
5104,5e9e19d808b9931ef37373c6,1149.8999999985099,1149.8999999985099,1,44,right-4,left,right-dark,dark-up,fewer-up,dual,2026-02-17 21:34:05.8940000
5105,6310dbdfda69599720736665,1327.9000000953674,1327.9000000953674,1,72,left-8,right,left-dark,light-up,greater-up,single,2026-02-17 21:34:06.2930000
5106,694179d88301c400c4bbdb4d,1304.300000011921,1304.300000011921,1,60,right-3,left,right-dark,dark-up,fewer-up,single,2026-02-17 21:33:02.5110000
5107,697cb8ffcfbeef0652884528,1891.699999988079,1891.699999988079,1,52,right-6,left,right-dark,light-up,greater-up,dual,2026-02-17 21:34:07.9800000
5108,5a4ff86beedc32000141f232,3895.199999988079,3895.199999988079,1,7,left-4,right,left-dark,dark-up,fewer-up,single,2026-02-17 21:34:07.0950000
5109,6310dbdfda69599720736665,1545.5,1545.5,1,73,right-1,left,right-dark,dark-up,fewer-up,single,2026-02-17 21:34:08.3490000
5110,694179d88301c400c4bbdb4d,1435.6000000238419,1435.6000000238419,1,61,right-6,left,right-dark,dark-up,fewer-up,single,2026-02-17 21:33:04.4480000
